,tweet
0, pictwittercom/hgE37yPWHZ
1,Wonder what the ‘I stand with Dan’ crowd will do when the ABC does their Dan like a dinner 🤷‍♀️😱? https://twittercom/4corners/status/1293726334166814720 …
2,Andrews lies about the ADF offer from ScottMorrisonMP cannot be dismissed because it’s in the ‘past’ We are all living with the catastrophic consequences of Labor’s decisions in the present Today all current cases of Covid-19 can be traced back to the hotel quarantine fiasco https://twittercom/rwillingham/status/1293738606637404160 …
3,Crisp needs to front the media and explain himself
4,Sounds like Andrew Crisp was present
5,ScottMorrisonMP told the media on March 27:“we will be supporting them also by providing members of the Australian Defence Force to assist in the compliance with these arrangements”Daniel Andrews is lying  Andrew Crisp is in a lot of trouble  https://wwwpmgovau/media/press-conference-australian-parliament-house-act-270320 …
6,I’ll just repost Daniel Andrews media release from March 27 that said: “It has also been agreed that the ADF will be engaged to support the implementation of these arrangements” pictwittercom/h1rb2jORek
7,I’ve concluded that Daniel Andrews must have been asleep 😴 during a number of National Cabinet meetings 💤 or he’s just lying again about his refusal of ADF assistance in the management of hotel quarantine  https://wwwpmgovau/media/update-coronavirus-measures-270320 …
8, pictwittercom/E3cDHPRMhv
9,What about what the Premier discussed and was offered at National Cabinet ?🤬🤦🏼‍♀️👎 https://twittercom/sharnellevella/status/1293100983434665985 …
10,Daniel Andrews lied He was offered ADF personnel in MarchHe refusedAndrews used bouncers not the ADF and police to run hotel quarantine They were untrained and allowed the virus to get back into the community This Labor government failure caused the 2nd wave https://twittercom/9newsmelb/status/1293096676421492737 …
11,Daniel Andrews told a Parliamentary Committee “I don’t believe ADF support was on offer”Read the below statement from Defence Minister lindareynoldswa ADF personnel were offered in March Daniel Andrews refused the offerAndrews has lied this man cannot be trusted pictwittercom/yzFuYQ0D7R
12, pictwittercom/2oFq29jC4u
13,Obsessed lefties I’m not on QandA tonight my friend and colleague TimWilsonMP is Please direct your irrational abuse at him and not me for a change I won’t be watching because it’s a biased show with an awful presenter but if you’re to abuse someone get the right Tim 
14,Looking forward to speaking with BenFordhamLive on 2GB873 after the 8am news 
15,Looking forward to speaking with SharriMarkson very soon on SkyNewsAust  https://twittercom/sharrimarkson/status/1292367296401301504 …
16, https://twittercom/skynewsaust/status/1292269299063615488 … pictwittercom/cAzwgTlTT8
17,Spot on JoshFrydenberg Victorians deserve answers from the Andrews Labor govt about the greatest public administration failure in 🇦🇺history that has resulted in the 2nd wave of Covid-19 deaths and economic catastrophe  the most extreme lockdown Melbourne has ever endured https://twittercom/abcnews/status/1291960175113285632 …
18,Exemptions to the curfew are to receive or give care  to go to or from work  and apparently to get high🤦🏻‍♂️🤬We are all doing our best we are adhering to this extreme lockdownBut Premier the rules must apply equally to everyone including those with illicit drug addiction https://twittercom/heidimur/status/1291913272346546176 …
19,Why wasn’t the BLM organisers in June arrested before their protest too? nswpolice ensured the last BLM protest in Sydney didn’t go ahead They successfully applied for a court order to stop it They arrested the protesters Why didn’t VictoriaPolice do the same ? https://twittercom/9NewsMelb/status/1291532551073325056 …
